Model,Feature,Importance
LightGBM,nasdaq_return,6.0
LightGBM,high,5.0
LightGBM,rd_expense,4.0
LightGBM,ticker_NVDA,4.0
LightGBM,low,2.0
LightGBM,ticker_AMD,2.0
LightGBM,previous_5_day_return,1.0
LightGBM,return_5d,1.0
LightGBM,daily_return,0.0
LightGBM,relative_volume,0.0
LightGBM,previous_day_return,0.0
LightGBM,ticker_AVGO,0.0
LightGBM,ticker_ADI,0.0
LightGBM,ticker_INTC,0.0
LightGBM,ticker_MCHP,0.0
LightGBM,ticker_MRVL,0.0
LightGBM,ticker_MPWR,0.0
LightGBM,ticker_MU,0.0
LightGBM,ticker_ON,0.0
LightGBM,ticker_QCOM,0.0
LightGBM,ticker_TXN,0.0
CatBoost,fed_funds_rate,22.315790385832848
CatBoost,treasury_10y,14.469198927381228
CatBoost,copper,13.650342100446696
CatBoost,yield_curve_10y_2y,12.21383502821486
CatBoost,vix,4.879829897664171
CatBoost,atr_14,3.9108941115060474
CatBoost,dxy,3.685323041343757
CatBoost,macd_signal,2.9543976879364826
CatBoost,macd,2.18503716808014
CatBoost,volatility_20,1.7778165369857246
CatBoost,sp500_return,1.5954657510492782
CatBoost,previous_60_day_return,1.2529001788736145
CatBoost,momentum_20,1.0280443317375612
CatBoost,adjusted_close,0.9016009168590885
CatBoost,eps,0.8974420300991245
CatBoost,sma_50,0.8410339346411483
CatBoost,ema_12,0.8294326527801379
CatBoost,bollinger_width,0.7799845679700981
CatBoost,revenue,0.69911512725067
CatBoost,debt_to_equity,0.6938948514286163
CatBoost,sma_20,0.6870307446925794
CatBoost,capex,0.6527100141512125
CatBoost,distance_from_sma_20,0.6346472464452022
CatBoost,soxx_return,0.5889719915967645
CatBoost,inventory,0.5683515420462237
CatBoost,qqq_return,0.5561131941659726
CatBoost,rd_expense,0.4949480892963932
CatBoost,open,0.4864551244597607
CatBoost,free_cash_flow,0.4719452843664021
CatBoost,ema_26,0.4667694387692777
CatBoost,previous_20_day_return,0.4660042296532297
CatBoost,gross_margin,0.36591707251763145
CatBoost,volume,0.33833407916448466
CatBoost,rsi_14,0.3288458579797931
CatBoost,low,0.30147360352397495
CatBoost,high,0.22071316728656615
CatBoost,ticker_NVDA,0.21611601134826083
CatBoost,ticker_AMD,0.20999288297994056
CatBoost,macd_histogram,0.1831429473636731
CatBoost,nasdaq_return,0.09827001849444786
CatBoost,return_5d,0.06792506221367765
CatBoost,ticker_ON,0.03394316940321559
CatBoost,daily_return,0.0
CatBoost,relative_volume,0.0
CatBoost,ticker_ADI,0.0
CatBoost,previous_day_return,0.0
CatBoost,previous_5_day_return,0.0
CatBoost,ticker_INTC,0.0
CatBoost,ticker_AVGO,0.0
CatBoost,ticker_MCHP,0.0
CatBoost,ticker_MPWR,0.0
CatBoost,ticker_MU,0.0
CatBoost,ticker_MRVL,0.0
CatBoost,ticker_QCOM,0.0
CatBoost,ticker_TXN,0.0
