ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
NVDA,2015-01-25,annual,2015-03-12,False,4681507000.0,2082030000.0,2599477000.0,1359725000.0,,0.028499999999999998,0.028000000000000004,630587000.0,905656000.0,-727048000.0,-833541000.0,-654933000.0,482893000.0,1384342000.0,,4417982000.0,0.5552650033418726,1384342000.0,0.31334260755249793
NVDA,2016-01-31,annual,2016-03-17,False,5010000000.0,2199000000.0,2811000000.0,1331000000.0,,0.028249999999999997,0.027000000000000003,614000000.0,1175000000.0,-400000000.0,-676000000.0,99000000.0,418000000.0,1413000000.0,,4469000000.0,0.5610778443113772,1413000000.0,0.3161781159095995
NVDA,2017-01-29,annual,2017-03-01,False,6910000000.0,2847000000.0,4063000000.0,1463000000.0,,0.077,0.06425,1666000000.0,1672000000.0,-793000000.0,291000000.0,1170000000.0,794000000.0,1983000000.0,,5762000000.0,0.5879884225759768,1983000000.0,0.3441513363415481
NVDA,2018-01-28,annual,2018-02-28,False,9714000000.0,3892000000.0,5822000000.0,1797000000.0,,0.12725,0.12050000000000001,3047000000.0,3502000000.0,1278000000.0,-2544000000.0,2236000000.0,796000000.0,1985000000.0,,7471000000.0,0.5993411570928556,1985000000.0,0.26569401686521216
NVDA,2019-01-27,annual,2019-02-21,False,11716000000.0,4545000000.0,7171000000.0,2376000000.0,,0.17024999999999998,0.16575,4141000000.0,3743000000.0,-4097000000.0,-2866000000.0,-3220000000.0,1575000000.0,1988000000.0,,9342000000.0,0.6120689655172413,1988000000.0,0.21280239777349605
NVDA,2020-01-26,annual,2020-11-18,False,10918000000.0,4150000000.0,6768000000.0,2829000000.0,,0.11474999999999999,0.11299999999999999,2796000000.0,4761000000.0,6145000000.0,-792000000.0,10114000000.0,979000000.0,1991000000.0,0.0,12204000000.0,0.619893753434695,1991000000.0,0.16314323172730252
NVDA,2021-01-31,annual,2021-02-26,False,16675000000.0,6279000000.0,10396000000.0,3924000000.0,,0.1755,0.17250000000000001,4332000000.0,5822000000.0,-19675000000.0,3804000000.0,-10049000000.0,1826000000.0,5964000000.0,999000000.0,16893000000.0,0.623448275862069,6963000000.0,0.41218256082400995
NVDA,2022-01-30,annual,2024-02-21,False,26914000000.0,9439000000.0,17475000000.0,5268000000.0,976000000.0,0.391,0.385,9752000000.0,9108000000.0,-9830000000.0,1865000000.0,1143000000.0,2605000000.0,10946000000.0,0.0,26612000000.0,0.6492903321691313,10946000000.0,0.41131820231474525
NVDA,2023-01-29,annual,2024-02-21,False,26974000000.0,11618000000.0,15356000000.0,7339000000.0,1833000000.0,0.176,0.174,4368000000.0,5641000000.0,7375000000.0,-11617000000.0,1399000000.0,5159000000.0,9703000000.0,1250000000.0,22101000000.0,0.5692889449099132,10953000000.0,0.4955884349124474
NVDA,2024-01-28,annual,2024-02-21,False,60922000000.0,16621000000.0,44301000000.0,8675000000.0,1069000000.0,1.205,1.193,29760000000.0,28090000000.0,-10566000000.0,-13633000000.0,3891000000.0,5282000000.0,8459000000.0,1250000000.0,42978000000.0,0.7271757329043695,9709000000.0,0.22590627763041557
