Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2,RMSE Improvement vs Baseline,Beats Baseline
Random Forest,5.565259218215942,0.5450629555997349,0.11370955133277842,0.08209948134993324,-0.00031704421052625165,0.00017578648063341917,True
Training Mean Baseline,0.0,0.5450629555997349,0.11388533781341184,0.08251432501799494,-0.0034122658541959616,0.0,False
XGBoost,1.3589355945587158,0.5395957587806495,0.11417873095977245,0.08229676478168961,-0.008588937389927498,-0.0002933931463606071,False
CatBoost,4.055953741073608,0.5453943008614976,0.11422691345542173,0.08278469770871541,-0.009440349650468915,-0.00034157564200988644,False
LightGBM,1.0642623901367188,0.4960238568588469,0.11595535601004886,0.08315390026754038,-0.04022048992498073,-0.002070018196637019,False
Ridge Regression,0.5697760581970215,0.518389662027833,0.11764485364907781,0.08476881704828243,-0.07075384964844145,-0.003759515835665972,False
Linear Regression,0.3065924644470215,0.5281643472498343,0.1195515052731114,0.08660164014366185,-0.10574217390195284,-0.005666167459699556,False
