Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Directional Accuracy_mean,Directional Accuracy_std
Training Mean Baseline,0.08064579705159958,0.008282526500436975,0.06093992548460919,0.006983266160623008,-0.010338432262673124,0.009405272053516982,0.5608283433133733,0.05418234583968136
Random Forest Tuned,0.08087322574986022,0.007708558521004484,0.06074942504299584,0.006674890716092641,-0.017730321516330895,0.040812156797130364,0.5603293413173652,0.05424291709159235
CatBoost Tuned,0.0820491038342557,0.007850003500715425,0.061481617229013574,0.006732001639502165,-0.04754038399353226,0.04358476246638338,0.5584830339321357,0.04423160842118636
LightGBM Tuned,0.08216034591387741,0.0081086440994826,0.061551254790916346,0.006867589675477427,-0.04982091150121024,0.04137937515576763,0.5572355289421158,0.04419817047112843
XGBoost Tuned,0.0829066918672433,0.008175295973895049,0.062416569568168045,0.007154392565026058,-0.06940807409096802,0.0521540183419091,0.5441616766467066,0.0470559146817637
Ridge Regression Tuned,0.08535756163929727,0.011277955193369842,0.06423934202753068,0.007579766771289538,-0.1296365034781389,0.10693741269912492,0.5498003992015968,0.04972605591368102
Linear Regression Tuned,0.09794400076438572,0.015049713268939764,0.07356782524131913,0.01091827358556166,-0.5103974056353324,0.3534438396307179,0.5385728542914172,0.04703858136614763
