Fold,Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2
1,Training Mean Baseline,0.0,0.5391716566866267,0.07508238206763124,0.05781751581429598,-0.013214710781791261
2,Training Mean Baseline,0.0,0.6102794411177644,0.08806739551033645,0.06344246706360475,-0.00036551915600790963
3,Training Mean Baseline,0.0,0.6035429141716567,0.07097664202468447,0.05282858610114785,-0.007410770645728704
4,Training Mean Baseline,0.0,0.4780439121756487,0.09022451267170593,0.07143500921621652,-0.025027618545814256
5,Training Mean Baseline,0.0,0.5731037924151696,0.07887805298363981,0.05917604922778088,-0.0056735421840234945
1,Linear Regression Tuned,0.0673379898071289,0.49650698602794413,0.09755141647080319,0.07829946314738738,-0.7103798091506908
2,Linear Regression Tuned,0.12402057647705078,0.6120259481037924,0.12311782698713093,0.08861955446360284,-0.9551059242161661
3,Linear Regression Tuned,0.14165377616882324,0.5573852295409182,0.08895140787607705,0.06330250065248909,-0.5822727368703158
4,Linear Regression Tuned,0.15399551391601562,0.5074850299401198,0.09581996144774953,0.0750224336151518,-0.15610814494156178
5,Linear Regression Tuned,0.18714261054992676,0.5194610778443114,0.08427939104016789,0.06259517432796459,-0.14812041299792789
1,Ridge Regression Tuned,0.1088869571685791,0.5406686626746507,0.07715712654678589,0.05936033670332191,-0.06998451448411469
2,Ridge Regression Tuned,0.06992983818054199,0.6067864271457086,0.10112660528371209,0.0721511981147614,-0.31904394820658233
3,Ridge Regression Tuned,0.09827756881713867,0.5958083832335329,0.07355552637815824,0.05580680994894534,-0.08194779967468957
4,Ridge Regression Tuned,0.12507343292236328,0.49850299401197606,0.0921971042864195,0.07231149229658199,-0.07033823396071237
5,Ridge Regression Tuned,0.15029215812683105,0.5072355289421158,0.08275144570141062,0.061566873074042724,-0.10686802106459559
1,Random Forest Tuned,0.8565702438354492,0.5391716566866267,0.07773054347035252,0.05883735022041245,-0.08594744982438796
2,Random Forest Tuned,1.3912005424499512,0.6095309381237525,0.08719325904951188,0.06243637485887643,0.01939471438362872
3,Random Forest Tuned,1.9963347911834717,0.6035429141716567,0.07047537321329245,0.05248058066231886,0.006768553006069711
4,Random Forest Tuned,2.6527099609375,0.4772954091816367,0.08966445453455602,0.07079586182761365,-0.01234163577583125
5,Random Forest Tuned,4.630160093307495,0.5721057884231537,0.07930249848158827,0.059196957645757824,-0.016525789371133692
1,XGBoost Tuned,1.670553207397461,0.5369261477045908,0.07736801936104638,0.05868161112502144,-0.07584166448035501
2,XGBoost Tuned,0.6502840518951416,0.6145209580838323,0.08767757783890959,0.06203683954406214,0.008470829499425347
3,XGBoost Tuned,0.8743813037872314,0.5289421157684631,0.0725783879179634,0.053794152346052004,-0.053392756748868564
4,XGBoost Tuned,1.0434346199035645,0.48502994011976047,0.09323323773572739,0.07297941693109047,-0.09453085768814806
5,XGBoost Tuned,1.292891263961792,0.5553892215568862,0.08367623648256975,0.06459082789461418,-0.13174592103689386
1,LightGBM Tuned,0.3126964569091797,0.5371756487025948,0.07821352209536558,0.05902116123074968,-0.09948444158504399
2,LightGBM Tuned,0.5189290046691895,0.6172654690618763,0.08800335681105857,0.06191618290796755,0.0010887946616878752
3,LightGBM Tuned,0.6025986671447754,0.5718562874251497,0.07128104941982756,0.052772326084825724,-0.016070546439871825
4,LightGBM Tuned,0.7705965042114258,0.49750499001996007,0.09187564555884933,0.0717753760573392,-0.0628874632470171
5,LightGBM Tuned,0.8885486125946045,0.562375249500998,0.08142815568428606,0.062271227673699525,-0.07175090089580616
1,CatBoost Tuned,2.3385472297668457,0.5344311377245509,0.07864272563037569,0.05947083276094829,-0.11158458487830925
2,CatBoost Tuned,4.845365285873413,0.6160179640718563,0.08790917797490992,0.061867515028851766,0.003225666689663509
3,CatBoost Tuned,3.086843490600586,0.5810878243512974,0.07140922306560815,0.052878227600041634,-0.019727915591453815
4,CatBoost Tuned,3.444880247116089,0.5,0.09133028186153844,0.0716336161286801,-0.05030654838857895
5,CatBoost Tuned,3.909968137741089,0.5608782435129741,0.08095411063884629,0.06155789462654607,-0.05930853779898282
