Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
2016-07-01,1.1438755989074707,1.1664999723434448,0.0,1.184000015258789,1.162500023841858,1.1687500476837158,0.0,218488000
2016-07-05,1.160791039466858,1.183750033378601,0.0,1.1857500076293945,1.1507500410079956,1.159999966621399,0.0,371084000
2016-07-06,1.1681452989578247,1.191249966621399,0.0,1.1982500553131104,1.1694999933242798,1.1755000352859497,0.0,273104000
2016-07-07,1.1985445022583008,1.222249984741211,0.0,1.2265000343322754,1.193750023841858,1.1992499828338623,0.0,395400000
2016-07-08,1.2465940713882446,1.2712500095367432,0.0,1.277250051498413,1.2304999828338623,1.2352499961853027,0.0,481932000
2016-07-11,1.2752764225006104,1.3005000352859497,0.0,1.309999942779541,1.2879999876022339,1.2894999980926514,0.0,448776000
2016-07-12,1.2943984270095825,1.3200000524520874,0.0,1.3320000171661377,1.2984999418258667,1.315000057220459,0.0,436760000
2016-07-13,1.293907642364502,1.3194999694824219,0.0,1.3300000429153442,1.3174999952316284,1.3224999904632568,0.0,324604000
2016-07-14,1.3071459531784058,1.3329999446868896,0.0,1.3450000286102295,1.315500020980835,1.3265000581741333,0.0,316892000
2016-07-15,1.2919468879699707,1.3174999952316284,0.0,1.3235000371932983,1.2960000038146973,1.315999984741211,0.0,428616000
2016-07-18,1.2985661029815674,1.3242499828338623,0.0,1.3357499837875366,1.3192499876022339,1.3337500095367432,0.0,252992000
2016-07-19,1.312049150466919,1.3380000591278076,0.0,1.343250036239624,1.3209999799728394,1.3235000371932983,0.0,382652000
2016-07-20,1.329209804534912,1.3554999828338623,0.0,1.3627500534057617,1.3370000123977661,1.3424999713897705,0.0,296460000
2016-07-21,1.3046947717666626,1.3305000066757202,0.0,1.3567500114440918,1.3259999752044678,1.3524999618530273,0.0,361308000
2016-07-22,1.3402413129806519,1.3667500019073486,0.0,1.3667500019073486,1.3255000114440918,1.3352500200271606,0.0,315768000
2016-07-25,1.3650015592575073,1.3919999599456787,0.0,1.3952499628067017,1.36899995803833,1.375,0.0,312528000
2016-07-26,1.3882914781570435,1.4157500267028809,0.0,1.4229999780654907,1.402250051498413,1.4042500257492065,0.0,514508000
2016-07-27,1.3743177652359009,1.4014999866485596,0.0,1.4305000305175781,1.3930000066757202,1.4279999732971191,0.0,446676000
2016-07-28,1.3772590160369873,1.4045000076293945,0.0,1.4149999618530273,1.40024995803833,1.4047499895095825,0.0,221916000
2016-07-29,1.3998134136199951,1.4275000095367432,0.0,1.431249976158142,1.3845000267028809,1.409749984741211,0.0,409588000
2016-08-01,1.390742540359497,1.4182499647140503,0.0,1.4387500286102295,1.409000039100647,1.433500051498413,0.0,301120000
2016-08-02,1.373827576637268,1.4010000228881836,0.0,1.4257500171661377,1.3875000476837158,1.4249999523162842,0.0,282748000
2016-08-03,1.3775044679641724,1.4047499895095825,0.0,1.4075000286102295,1.3914999961853027,1.3992500305175781,0.0,299828000
2016-08-04,1.4030004739761353,1.4307500123977661,0.0,1.437250018119812,1.408750057220459,1.4114999771118164,0.0,272712000
2016-08-05,1.4267799854278564,1.4550000429153442,0.0,1.4557499885559082,1.440250039100647,1.4472500085830688,0.0,371588000
2016-08-08,1.4400182962417603,1.468500018119812,0.0,1.4785000085830688,1.4529999494552612,1.475000023841858,0.0,305064000
2016-08-09,1.4436954259872437,1.472249984741211,0.0,1.4865000247955322,1.468500018119812,1.4757499694824219,0.0,372344000
2016-08-10,1.4343794584274292,1.46274995803833,0.0,1.4874999523162842,1.4579999446868896,1.4852499961853027,0.0,375740000
2016-08-11,1.4635522365570068,1.4924999475479126,0.0,1.4987499713897705,1.4674999713897705,1.4704999923706055,0.0,681064000
2016-08-12,1.5454330444335938,1.5759999752044678,0.0,1.5844999551773071,1.5157500505447388,1.5475000143051147,0.0,1425744000
