Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
,MCHP,MCHP,MCHP,MCHP,MCHP,MCHP,MCHP,MCHP
2016-07-01,20.87255859375,25.209999084472656,0.0,25.360000610351562,25.020000457763672,25.295000076293945,0.0,2901800
2016-07-05,20.632448196411133,24.920000076293945,0.0,25.079999923706055,24.690000534057617,25.079999923706055,0.0,4295000
2016-07-06,20.487565994262695,24.7450008392334,0.0,24.860000610351562,24.485000610351562,24.799999237060547,0.0,5027200
2016-07-07,20.86427879333496,25.200000762939453,0.0,26.014999389648438,24.834999084472656,24.834999084472656,0.0,3915600
2016-07-08,21.47281837463379,25.934999465942383,0.0,25.96500015258789,25.385000228881836,25.434999465942383,0.0,3122000
2016-07-11,21.671525955200195,26.174999237060547,0.0,26.299999237060547,25.959999084472656,26.299999237060547,0.0,4399000
2016-07-12,21.982011795043945,26.549999237060547,0.0,26.610000610351562,26.34000015258789,26.34000015258789,0.0,3653800
2016-07-13,22.044105529785156,26.625,0.0,26.854999542236328,26.56999969482422,26.670000076293945,0.0,3557200
2016-07-14,22.193132400512695,26.80500030517578,0.0,27.020000457763672,26.690000534057617,26.899999618530273,0.0,3028000
2016-07-15,22.259366989135742,26.885000228881836,0.0,26.985000610351562,26.69499969482422,26.854999542236328,0.0,11689800
2016-07-18,22.371143341064453,27.020000457763672,0.0,27.334999084472656,26.934999465942383,27.299999237060547,0.0,3109400
2016-07-19,22.234533309936523,26.854999542236328,0.0,26.975000381469727,26.725000381469727,26.895000457763672,0.0,2682200
2016-07-20,22.49534034729004,27.170000076293945,0.0,27.260000228881836,26.81999969482422,26.975000381469727,0.0,2981200
2016-07-21,22.27178382873535,26.899999618530273,0.0,27.165000915527344,26.815000534057617,27.075000762939453,0.0,3437000
2016-07-22,22.42495346069336,27.084999084472656,0.0,27.110000610351562,26.665000915527344,26.954999923706055,0.0,3231800
2016-07-25,22.466358184814453,27.135000228881836,0.0,27.264999389648438,26.84000015258789,26.84000015258789,0.0,3468200
2016-07-26,23.737255096435547,28.670000076293945,0.0,29.3700008392334,27.155000686645508,27.375,0.0,12398200
2016-07-27,23.629615783691406,28.540000915527344,0.0,28.770000457763672,28.18000030517578,28.770000457763672,0.0,6445200
2016-07-28,23.468175888061523,28.344999313354492,0.0,28.655000686645508,28.145000457763672,28.5,0.0,3337600
2016-07-29,23.033496856689453,27.81999969482422,0.0,28.469999313354492,27.81999969482422,28.420000076293945,0.0,7444000
2016-08-01,23.10387420654297,27.905000686645508,0.0,28.1200008392334,27.780000686645508,28.020000457763672,0.0,4318200
2016-08-02,22.760282516479492,27.489999771118164,0.0,27.875,27.2549991607666,27.790000915527344,0.0,3626000
2016-08-03,22.905168533325195,27.665000915527344,0.0,27.690000534057617,27.40999984741211,27.454999923706055,0.0,3169600
2016-08-04,23.07903480529785,27.875,0.0,27.915000915527344,27.674999237060547,27.700000762939453,0.0,3575200
2016-08-05,23.414365768432617,28.280000686645508,0.0,28.28499984741211,27.920000076293945,27.985000610351562,0.0,4005000
2016-08-08,23.443336486816406,28.315000534057617,0.0,28.565000534057617,28.260000228881836,28.299999237060547,0.0,3906400
2016-08-09,25.09922981262207,30.315000534057617,0.0,30.985000610351562,29.729999542236328,29.815000534057617,0.0,16461000
2016-08-10,24.983318328857422,30.174999237060547,0.0,30.424999237060547,30.09000015258789,30.30500030517578,0.0,7084400
2016-08-11,25.157182693481445,30.385000228881836,0.0,30.43000030517578,30.079999923706055,30.184999465942383,0.0,5149200
2016-08-12,25.04955291748047,30.2549991607666,0.0,30.760000228881836,30.145000457763672,30.760000228881836,0.0,2941200
2016-08-15,25.33933448791504,30.604999542236328,0.0,30.635000228881836,30.264999389648438,30.389999389648438,0.0,4751200
2016-08-16,25.18202018737793,30.415000915527344,0.0,30.639999389648438,30.295000076293945,30.44499969482422,0.0,2795200
2016-08-17,25.231698989868164,30.475000381469727,0.0,30.5,30.149999618530273,30.3799991607666,0.0,2234600
2016-08-18,25.498218536376953,30.614999771118164,0.18,30.65999984741211,30.25,30.395000457763672,0.0,3473600
2016-08-19,25.52737045288086,30.649999618530273,0.0,30.90999984741211,30.524999618530273,30.645000457763672,0.0,3411400
2016-08-22,25.514877319335938,30.635000228881836,0.0,30.665000915527344,30.459999084472656,30.475000381469727,0.0,2469600
2016-08-23,25.569011688232422,30.700000762939453,0.0,30.954999923706055,30.684999465942383,30.78499984741211,0.0,3481800
2016-08-24,25.410768508911133,30.510000228881836,0.0,30.725000381469727,30.440000534057617,30.575000762939453,0.0,2914800
2016-08-25,25.456575393676758,30.565000534057617,0.0,30.815000534057617,30.450000762939453,30.520000457763672,0.0,3540800
2016-08-26,25.643966674804688,30.790000915527344,0.0,31.1200008392334,30.594999313354492,30.610000610351562,0.0,3074000
2016-08-29,25.652301788330078,30.799999237060547,0.0,31.0,30.780000686645508,30.834999084472656,0.0,2232800
2016-08-30,25.581504821777344,30.71500015258789,0.0,31.1200008392334,30.625,30.885000228881836,0.0,3032600
2016-08-31,25.781389236450195,30.954999923706055,0.0,30.9950008392334,30.575000762939453,30.78499984741211,0.0,4529400
2016-09-01,26.15201759338379,31.399999618530273,0.0,31.399999618530273,30.780000686645508,31.049999237060547,0.0,6825400
2016-09-02,26.106210708618164,31.344999313354492,0.0,31.5,31.135000228881836,31.3700008392334,0.0,3732000
2016-09-06,25.931312561035156,31.135000228881836,0.0,31.55500030517578,30.905000686645508,31.405000686645508,0.0,5510400
2016-09-07,25.310821533203125,30.389999389648438,0.0,30.93000030517578,30.274999618530273,30.739999771118164,0.0,10122200
2016-09-08,25.260852813720703,30.329999923706055,0.0,30.475000381469727,30.149999618530273,30.3799991607666,0.0,3503400
2016-09-09,24.36968994140625,29.260000228881836,0.0,30.190000534057617,29.15999984741211,30.079999923706055,0.0,5893600
2016-09-12,24.927703857421875,29.93000030517578,0.0,29.9950008392334,29.075000762939453,29.190000534057617,0.0,3907200
2016-09-13,24.623706817626953,29.565000534057617,0.0,29.979999542236328,29.434999465942383,29.790000915527344,0.0,4871400
2016-09-14,24.740306854248047,29.704999923706055,0.0,29.780000686645508,29.299999237060547,29.540000915527344,0.0,2819800
2016-09-15,25.169233322143555,30.219999313354492,0.0,30.44499969482422,29.665000915527344,29.739999771118164,0.0,5869400
2016-09-16,25.11509895324707,30.155000686645508,0.0,30.3700008392334,29.809999465942383,30.204999923706055,0.0,6765400
2016-09-19,25.231698989868164,30.295000076293945,0.0,30.645000457763672,30.149999618530273,30.364999771118164,0.0,2464600
2016-09-20,25.069292068481445,30.100000381469727,0.0,30.420000076293945,30.03499984741211,30.395000457763672,0.0,2975000
2016-09-21,25.45240592956543,30.559999465942383,0.0,30.584999084472656,30.15999984741211,30.260000228881836,0.0,2848800
2016-09-22,25.477397918701172,30.59000015258789,0.0,30.920000076293945,30.28499984741211,30.774999618530273,0.0,3381600
2016-09-23,25.252521514892578,30.31999969482422,0.0,30.670000076293945,30.299999237060547,30.6200008392334,0.0,1968800
2016-09-26,25.181732177734375,30.235000610351562,0.0,30.375,30.049999237060547,30.25,0.0,1912200
2016-09-27,25.53569221496582,30.65999984741211,0.0,30.69499969482422,30.0,30.155000686645508,0.0,3059400
2016-09-28,25.67312240600586,30.825000762939453,0.0,30.889999389648438,30.540000915527344,30.704999923706055,0.0,2670000
2016-09-29,25.80637550354004,30.985000610351562,0.0,31.190000534057617,30.44499969482422,30.825000762939453,0.0,3943600
2016-09-30,25.877174377441406,31.06999969482422,0.0,31.364999771118164,30.924999237060547,31.05500030517578,0.0,5265200
2016-10-03,25.743915557861328,30.90999984741211,0.0,31.21500015258789,30.825000762939453,31.030000686645508,0.0,2433600
2016-10-04,25.53569221496582,30.65999984741211,0.0,31.100000381469727,30.559999465942383,30.889999389648438,0.0,2563400
2016-10-05,25.868844985961914,31.059999465942383,0.0,31.299999237060547,30.75,30.829999923706055,0.0,2803800
2016-10-06,26.060401916503906,31.290000915527344,0.0,31.299999237060547,30.895000457763672,31.059999465942383,0.0,3033800
2016-10-07,25.843860626220703,31.030000686645508,0.0,31.299999237060547,30.760000228881836,31.299999237060547,0.0,2369400
2016-10-10,25.531530380249023,30.655000686645508,0.0,31.280000686645508,30.614999771118164,31.149999618530273,0.0,2724800
2016-10-11,24.856910705566406,29.844999313354492,0.0,30.700000762939453,29.540000915527344,30.549999237060547,0.0,4868600
2016-10-12,24.569570541381836,29.5,0.0,29.795000076293945,29.235000610351562,29.7549991607666,0.0,5796800
2016-10-13,24.32387351989746,29.204999923706055,0.0,29.264999389648438,28.760000228881836,29.264999389648438,0.0,4045400
2016-10-14,24.569570541381836,29.5,0.0,29.8700008392334,29.239999771118164,29.389999389648438,0.0,4057600
2016-10-17,24.444643020629883,29.350000381469727,0.0,29.704999923706055,29.329999923706055,29.450000762939453,0.0,2694800
2016-10-18,24.511272430419922,29.43000030517578,0.0,29.815000534057617,29.395000457763672,29.704999923706055,0.0,3481000
2016-10-19,24.990169525146484,30.0049991607666,0.0,30.135000228881836,29.209999084472656,29.360000610351562,0.0,6165200
2016-10-20,24.865236282348633,29.854999542236328,0.0,30.040000915527344,29.549999237060547,29.905000686645508,0.0,2602400
2016-10-21,24.777790069580078,29.75,0.0,29.829999923706055,29.395000457763672,29.704999923706055,0.0,2008200
2016-10-24,25.252521514892578,30.31999969482422,0.0,30.350000381469727,29.96500015258789,29.96500015258789,0.0,2318600
2016-10-25,25.364957809448242,30.454999923706055,0.0,30.59000015258789,30.295000076293945,30.329999923706055,0.0,3309000
2016-10-26,25.21504020690918,30.274999618530273,0.0,30.3799991607666,30.05500030517578,30.264999389648438,0.0,3104000
2016-10-27,25.135921478271484,30.18000030517578,0.0,30.709999084472656,30.06999969482422,30.375,0.0,3226200
2016-10-28,25.11092758178711,30.149999618530273,0.0,30.510000228881836,30.045000076293945,30.229999542236328,0.0,2126000
2016-10-31,25.21504020690918,30.274999618530273,0.0,30.604999542236328,30.264999389648438,30.344999313354492,0.0,4822000
2016-11-01,25.060962677001953,30.09000015258789,0.0,30.44499969482422,29.75,30.399999618530273,0.0,3987200
2016-11-02,24.927703857421875,29.93000030517578,0.0,30.34000015258789,29.889999389648438,30.110000610351562,0.0,4126200
2016-11-03,24.831924438476562,29.815000534057617,0.0,30.09000015258789,29.690000534057617,29.989999771118164,0.0,2423400
2016-11-04,25.07762336730957,30.110000610351562,0.0,30.260000228881836,29.725000381469727,29.760000228881836,0.0,4218400
2016-11-07,25.914653778076172,31.114999771118164,0.0,31.165000915527344,30.450000762939453,30.559999465942383,0.0,6885200
2016-11-08,26.63507843017578,31.979999542236328,0.0,32.80500030517578,31.594999313354492,32.6150016784668,0.0,10176600
2016-11-09,26.78082847595215,32.154998779296875,0.0,32.36000061035156,30.774999618530273,31.104999542236328,0.0,6642400
2016-11-10,26.002099990844727,31.219999313354492,0.0,32.709999084472656,31.05500030517578,32.27000045776367,0.0,10097000
2016-11-11,26.297765731811523,31.575000762939453,0.0,31.604999542236328,31.079999923706055,31.219999313354492,0.0,4819400
2016-11-14,26.45601463317871,31.764999389648438,0.0,31.905000686645508,31.549999237060547,31.84000015258789,0.0,4827600
2016-11-15,27.147294998168945,32.595001220703125,0.0,32.630001068115234,31.729999542236328,31.815000534057617,0.0,4592400
2016-11-16,27.338850021362305,32.82500076293945,0.0,32.8650016784668,32.25,32.3849983215332,0.0,3663400
2016-11-17,27.406269073486328,32.724998474121094,0.1805,32.95000076293945,32.415000915527344,32.654998779296875,0.0,3157400
2016-11-18,27.037790298461914,32.28499984741211,0.0,32.724998474121094,32.130001068115234,32.58000183105469,0.0,6136800
2016-11-21,27.30158805847168,32.599998474121094,0.0,32.80500030517578,32.310001373291016,32.45000076293945,0.0,5826400
2016-11-22,27.45651626586914,32.78499984741211,0.0,32.83000183105469,32.41999816894531,32.59000015258789,0.0,4657800
2016-11-23,27.682634353637695,33.05500030517578,0.0,33.060001373291016,32.63999938964844,32.75,0.0,3424600
2016-11-25,27.670074462890625,33.040000915527344,0.0,33.125,32.91999816894531,32.97999954223633,0.0,1251800
2016-11-28,27.594697952270508,32.95000076293945,0.0,33.404998779296875,32.81999969482422,32.9900016784668,0.0,4067200
2016-11-29,27.649139404296875,33.01499938964844,0.0,33.165000915527344,32.744998931884766,32.880001068115234,0.0,3885000
2016-11-30,27.711950302124023,33.09000015258789,0.0,33.380001068115234,32.77000045776367,33.005001068115234,0.0,6499600
2016-12-01,25.63920783996582,30.614999771118164,0.0,33.19499969482422,30.385000228881836,33.165000915527344,0.0,17624800
2016-12-02,25.982572555541992,31.024999618530273,0.0,31.350000381469727,30.424999237060547,30.594999313354492,0.0,5464800
