Fold,Train Start,Train End,Validation Start,Validation End,Train Rows,Validation Rows
1,2016-07-01,2017-09-29,2017-10-31,2019-03-01,3780,4008
2,2016-07-01,2019-01-30,2019-03-04,2020-06-26,7788,4008
3,2016-07-01,2020-05-28,2020-06-29,2021-10-22,11796,4008
4,2016-07-01,2021-09-23,2021-10-25,2023-02-22,15804,4008
5,2016-07-01,2023-01-23,2023-02-23,2024-06-21,19812,4008
