Model,Feature,Importance
Random Forest,treasury_10y,0.08710188129516634
Random Forest,volatility_20,0.0734030769915781
Random Forest,copper,0.07273269836337011
Random Forest,vix,0.06787136018137462
Random Forest,sma_50,0.04592129258588302
Random Forest,atr_14,0.043546288287036425
Random Forest,ema_12,0.04265620528285409
Random Forest,fed_funds_rate,0.038973855734758214
Random Forest,previous_60_day_return,0.038630375178788715
Random Forest,sma_20,0.03587333873138407
Random Forest,open,0.03572625150285336
Random Forest,momentum_20,0.03349738661272841
Random Forest,high,0.03115009209277442
Random Forest,ema_26,0.030365134525459338
Random Forest,adjusted_close,0.028649219225129568
Random Forest,low,0.027300320525219576
Random Forest,macd,0.02420921535213461
Random Forest,yield_curve_10y_2y,0.023384981801756598
Random Forest,previous_20_day_return,0.023082779793682527
Random Forest,macd_signal,0.02244525928205148
Random Forest,eps,0.021470691987700748
Random Forest,distance_from_sma_20,0.013882352368555504
Random Forest,gross_margin,0.013326377526709577
Random Forest,dxy,0.012404235284481173
Random Forest,volume,0.010450397360880704
Random Forest,revenue,0.00958110102016039
Random Forest,capex,0.008532133058224168
Random Forest,rsi_14,0.008389225329505392
Random Forest,debt_to_equity,0.008016007455065994
Random Forest,sp500_return,0.007765145173785068
Random Forest,rd_expense,0.006989520819523648
Random Forest,ticker_NVDA,0.006955374868169672
Random Forest,free_cash_flow,0.0064673512272785914
Random Forest,return_5d,0.006314128941055002
Random Forest,previous_5_day_return,0.0062323691814744845
Random Forest,inventory,0.005188866427030599
Random Forest,macd_histogram,0.004225672862677199
Random Forest,soxx_return,0.003924577549471281
Random Forest,daily_return,0.0035372535841735747
Random Forest,bollinger_width,0.0027943725046252733
Random Forest,nasdaq_return,0.002346051262215512
Random Forest,qqq_return,0.0018416146923976252
Random Forest,previous_day_return,0.000598388291196969
Random Forest,ticker_INTC,0.0005397044940539977
Random Forest,relative_volume,0.0005392149650417323
Random Forest,ticker_AMD,0.0004160682095706129
Random Forest,ticker_MRVL,0.0003450322520477311
Random Forest,ticker_QCOM,0.0003199377293676122
Random Forest,ticker_MU,8.582022757673274e-05
Random Forest,ticker_AVGO,0.0
Random Forest,ticker_ADI,0.0
Random Forest,ticker_MCHP,0.0
Random Forest,ticker_MPWR,0.0
Random Forest,ticker_ON,0.0
Random Forest,ticker_TXN,0.0
XGBoost,fed_funds_rate,0.04177674651145935
XGBoost,ticker_NVDA,0.03808313608169556
XGBoost,ema_26,0.03712381795048714
XGBoost,yield_curve_10y_2y,0.03482861444354057
XGBoost,copper,0.03121359460055828
XGBoost,dxy,0.029719935730099678
XGBoost,treasury_10y,0.029684878885746002
XGBoost,vix,0.028605442494153976
XGBoost,ticker_AMD,0.02786893956363201
XGBoost,macd,0.026742376387119293
XGBoost,atr_14,0.02649598754942417
XGBoost,volatility_20,0.024664726108312607
XGBoost,sma_50,0.024654481559991837
XGBoost,debt_to_equity,0.024622168391942978
XGBoost,previous_20_day_return,0.023044738918542862
XGBoost,macd_signal,0.02258268930017948
XGBoost,eps,0.021598143503069878
XGBoost,volume,0.021582944318652153
XGBoost,high,0.02038431353867054
XGBoost,sma_20,0.020135851576924324
XGBoost,free_cash_flow,0.020061088725924492
XGBoost,gross_margin,0.019922396168112755
XGBoost,momentum_20,0.019876156002283096
XGBoost,previous_60_day_return,0.019795596599578857
XGBoost,rd_expense,0.019400807097554207
XGBoost,ema_12,0.01928134635090828
XGBoost,adjusted_close,0.018829843029379845
XGBoost,capex,0.018720997497439384
XGBoost,inventory,0.017582735046744347
XGBoost,revenue,0.01712452992796898
XGBoost,open,0.017077459022402763
XGBoost,ticker_ON,0.01690809614956379
XGBoost,low,0.016574107110500336
XGBoost,return_5d,0.015967518091201782
XGBoost,ticker_MU,0.014450687915086746
XGBoost,ticker_MCHP,0.014145502820611
XGBoost,macd_histogram,0.013345449231564999
XGBoost,distance_from_sma_20,0.013292556628584862
XGBoost,ticker_MRVL,0.01313461922109127
XGBoost,ticker_QCOM,0.012550516985356808
XGBoost,previous_5_day_return,0.011872908100485802
XGBoost,bollinger_width,0.011767485179007053
XGBoost,ticker_AVGO,0.011717910878360271
XGBoost,rsi_14,0.011715136468410492
XGBoost,nasdaq_return,0.010600908659398556
XGBoost,soxx_return,0.009215764701366425
XGBoost,relative_volume,0.009118461050093174
XGBoost,sp500_return,0.009068596176803112
