Model,Feature,Importance
XGBoost,qqq_return,0.009001189842820168
XGBoost,daily_return,0.007041943725198507
XGBoost,previous_day_return,0.005424107890576124
XGBoost,ticker_INTC,0.0
XGBoost,ticker_ADI,0.0
XGBoost,ticker_MPWR,0.0
XGBoost,ticker_TXN,0.0
LightGBM,fed_funds_rate,272.0
LightGBM,yield_curve_10y_2y,219.0
LightGBM,treasury_10y,160.0
LightGBM,copper,142.0
LightGBM,atr_14,106.0
LightGBM,dxy,106.0
LightGBM,vix,91.0
LightGBM,volatility_20,84.0
LightGBM,previous_60_day_return,77.0
LightGBM,macd,70.0
LightGBM,free_cash_flow,67.0
LightGBM,debt_to_equity,55.0
LightGBM,macd_signal,52.0
LightGBM,eps,51.0
LightGBM,gross_margin,48.0
LightGBM,sma_50,48.0
LightGBM,revenue,46.0
LightGBM,capex,42.0
LightGBM,rd_expense,41.0
LightGBM,momentum_20,38.0
LightGBM,adjusted_close,35.0
LightGBM,volume,34.0
LightGBM,ticker_NVDA,27.0
LightGBM,open,20.0
LightGBM,sma_20,19.0
LightGBM,ema_26,17.0
LightGBM,low,17.0
LightGBM,inventory,15.0
LightGBM,return_5d,12.0
LightGBM,high,11.0
LightGBM,rsi_14,11.0
LightGBM,previous_20_day_return,10.0
LightGBM,ema_12,10.0
LightGBM,macd_histogram,9.0
LightGBM,distance_from_sma_20,8.0
LightGBM,soxx_return,7.0
LightGBM,ticker_AMD,6.0
LightGBM,bollinger_width,5.0
LightGBM,ticker_MU,3.0
LightGBM,sp500_return,3.0
LightGBM,ticker_ON,3.0
LightGBM,previous_5_day_return,2.0
LightGBM,ticker_MRVL,1.0
LightGBM,relative_volume,0.0
LightGBM,daily_return,0.0
LightGBM,qqq_return,0.0
LightGBM,nasdaq_return,0.0
LightGBM,ticker_INTC,0.0
LightGBM,ticker_AVGO,0.0
LightGBM,ticker_ADI,0.0
LightGBM,previous_day_return,0.0
LightGBM,ticker_MCHP,0.0
LightGBM,ticker_MPWR,0.0
LightGBM,ticker_QCOM,0.0
LightGBM,ticker_TXN,0.0
CatBoost,fed_funds_rate,21.10220902863725
CatBoost,yield_curve_10y_2y,10.946046915040105
CatBoost,treasury_10y,10.581458215254962
CatBoost,copper,8.85608564382716
CatBoost,vix,4.955988105409295
CatBoost,dxy,4.273394104165526
CatBoost,macd,3.7318700823219695
CatBoost,volatility_20,2.9014958007515204
CatBoost,atr_14,2.7071790461651455
CatBoost,previous_60_day_return,2.264086144097876
CatBoost,free_cash_flow,2.0497674045054586
CatBoost,sma_50,1.740132988959794
CatBoost,momentum_20,1.7028375671475153
CatBoost,ema_26,1.6710054958585345
CatBoost,macd_signal,1.6381442985433752
CatBoost,eps,1.6301345047030433
CatBoost,rd_expense,1.62311371079207
CatBoost,capex,1.4951988928896598
CatBoost,sma_20,1.3946373171488935
CatBoost,debt_to_equity,1.274486852004157
CatBoost,inventory,1.1804733264215408
CatBoost,ticker_NVDA,1.0941536786658417
CatBoost,low,1.0841068574237096
CatBoost,open,1.0538856728526038
CatBoost,gross_margin,0.9701221646519516
CatBoost,ema_12,0.9117452474058254
CatBoost,revenue,0.9010594828677545
CatBoost,adjusted_close,0.8353584982958292
CatBoost,high,0.7471251307458253
CatBoost,distance_from_sma_20,0.6203066278752615
CatBoost,previous_20_day_return,0.6123403770414816
CatBoost,volume,0.610120025231663
CatBoost,rsi_14,0.4184147708615746
CatBoost,ticker_AMD,0.257023227846308
CatBoost,ticker_ON,0.14848478213121494
CatBoost,bollinger_width,0.016008011458270483
CatBoost,relative_volume,0.0
CatBoost,daily_return,0.0
CatBoost,return_5d,0.0
CatBoost,macd_histogram,0.0
CatBoost,soxx_return,0.0
CatBoost,nasdaq_return,0.0
CatBoost,sp500_return,0.0
CatBoost,qqq_return,0.0
CatBoost,ticker_ADI,0.0
CatBoost,previous_day_return,0.0
CatBoost,previous_5_day_return,0.0
CatBoost,ticker_INTC,0.0
CatBoost,ticker_AVGO,0.0
CatBoost,ticker_MCHP,0.0
CatBoost,ticker_MPWR,0.0
CatBoost,ticker_MU,0.0
CatBoost,ticker_MRVL,0.0
CatBoost,ticker_QCOM,0.0
CatBoost,ticker_TXN,0.0
