Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Directional Accuracy_mean,Directional Accuracy_std
Random Forest Tuned,0.11692215089932836,0.012209859827916348,0.0886000404490065,0.011352733289729236,-0.016893565623737207,0.05444082651448175,0.5758982035928144,0.09370172664173874
Training Mean Baseline,0.11725714798870727,0.012410585470312105,0.08891568389672935,0.011577229494530359,-0.021698206917549222,0.019629574129827573,0.5792914171656687,0.08965619701066788
CatBoost Tuned,0.11952453780906239,0.010992784501260712,0.09122870970057081,0.010695644993717971,-0.06569910735363774,0.07334339467069714,0.5684630738522954,0.07630848425296487
LightGBM Tuned,0.11980298467818384,0.011745443516249798,0.0915446709524054,0.01135655476130647,-0.06914932960632665,0.061334777226876136,0.5621756487025948,0.0883806705886162
XGBoost Tuned,0.12071649826845163,0.012242227002890323,0.09215676487569982,0.01159928761974126,-0.08610903239718733,0.08614927525747658,0.5710578842315369,0.06167329571218304
Ridge Regression Tuned,0.12443426102334425,0.014329505917349513,0.09469008439734164,0.01054183405036771,-0.1512803568232211,0.0850803402157913,0.5792914171656687,0.07221974364221685
Linear Regression Tuned,0.15655911651663204,0.022522958220014787,0.11745656514038401,0.023233334428092414,-0.8820266960418657,0.5989991361946088,0.5748003992015969,0.05328420794108794
