Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2,RMSE Improvement vs Baseline,Beats Baseline
Random Forest,4.046722650527954,0.546148738379814,0.181443181025844,0.12619180889773463,-0.0037451586128778303,0.00037972445498951624,True
Training Mean Baseline,0.0,0.546148738379814,0.18182290548083352,0.12731668903421894,-0.00795083240127048,0.0,False
CatBoost,4.270806550979614,0.5346945551128818,0.18532005880511154,0.12997758934603065,-0.04709725178170121,-0.003497153324278024,False
LightGBM,3.620349884033203,0.5207503320053121,0.18672757260554995,0.12996941437365894,-0.06306315038440014,-0.004904667124716433,False
Ridge Regression,0.16703319549560547,0.5310424966799469,0.18828346406072477,0.13267758448125258,-0.08085272265332599,-0.006460558579891251,False
XGBoost,2.482346534729004,0.5076361221779548,0.1884931285544138,0.1308849256875713,-0.08326124657988898,-0.006670223073580284,False
Linear Regression,0.18009209632873535,0.5282204515272244,0.1954648318716765,0.14024139382337703,-0.16487525987537044,-0.013641926390842968,False
