Model,Feature,Coefficient,Absolute Coefficient
Linear Regression,sma_20,-0.4184235508107386,0.4184235508107386
Linear Regression,ema_26,0.3955971497787467,0.3955971497787467
Linear Regression,ema_12,0.3911475403905845,0.3911475403905845
Linear Regression,sma_50,-0.29218389399084455,0.29218389399084455
Linear Regression,adjusted_close,-0.16806706146520636,0.16806706146520636
Linear Regression,low,0.13169138980817466,0.13169138980817466
Linear Regression,open,-0.0911181149257334,0.0911181149257334
Linear Regression,ticker_NVDA,0.08987108933402602,0.08987108933402602
Linear Regression,fed_funds_rate,0.08061598791594582,0.08061598791594582
Linear Regression,yield_curve_10y_2y,0.05299857095153315,0.05299857095153315
Linear Regression,high,0.048876143336735685,0.048876143336735685
Linear Regression,ticker_MU,0.04697753217220804,0.04697753217220804
Linear Regression,ticker_MPWR,0.04580661623611909,0.04580661623611909
Linear Regression,ticker_AMD,0.04419735309453692,0.04419735309453692
Linear Regression,rd_expense,0.03920732763143876,0.03920732763143876
Linear Regression,revenue,-0.03125327678716807,0.03125327678716807
Linear Regression,vix,0.03102829258427766,0.03102829258427766
Linear Regression,treasury_10y,-0.02690862187086389,0.02690862187086389
Linear Regression,ticker_TXN,0.024869439018842268,0.024869439018842268
Linear Regression,ticker_ADI,0.017273200655945384,0.017273200655945384
Linear Regression,ticker_MCHP,0.01700855797190584,0.01700855797190584
Linear Regression,ticker_ON,0.01631938110658429,0.01631938110658429
Linear Regression,macd_signal,-0.01536431111940562,0.01536431111940562
Linear Regression,gross_margin,-0.014949659452164319,0.014949659452164319
Linear Regression,ticker_INTC,0.01439943770534051,0.01439943770534051
Linear Regression,inventory,-0.014074044836061339,0.014074044836061339
Linear Regression,macd,-0.013835532158721046,0.013835532158721046
Linear Regression,ticker_MRVL,0.013332337803324087,0.013332337803324087
Linear Regression,nasdaq_return,0.012515233077141225,0.012515233077141225
Linear Regression,qqq_return,-0.012200923736635519,0.012200923736635519
Linear Regression,free_cash_flow,0.010869798069965228,0.010869798069965228
Linear Regression,ticker_AVGO,0.010605937596621172,0.010605937596621172
Linear Regression,volume,-0.010058874870306848,0.010058874870306848
Linear Regression,previous_20_day_return,-0.008269098179479663,0.008269098179479663
Linear Regression,previous_60_day_return,-0.007486516100091892,0.007486516100091892
Linear Regression,rsi_14,0.007384597665682533,0.007384597665682533
Linear Regression,copper,-0.0071198926803023865,0.0071198926803023865
Linear Regression,eps,0.006755713029384599,0.006755713029384599
Linear Regression,capex,-0.006645786758680762,0.006645786758680762
Linear Regression,atr_14,-0.006429879384159259,0.006429879384159259
Linear Regression,soxx_return,-0.004007358906648328,0.004007358906648328
Linear Regression,previous_5_day_return,-0.0034936981192077443,0.0034936981192077443
Linear Regression,dxy,0.003388093965849895,0.003388093965849895
Linear Regression,sp500_return,0.0030691459237475044,0.0030691459237475044
Linear Regression,distance_from_sma_20,-0.0026779514801206316,0.0026779514801206316
Linear Regression,bollinger_width,0.0024873199403184637,0.0024873199403184637
Linear Regression,volatility_20,-0.0022166989212527646,0.0022166989212527646
Linear Regression,daily_return,-0.0019683446125222954,0.0019683446125222954
Linear Regression,ticker_QCOM,0.0015252521420441919,0.0015252521420441919
Linear Regression,previous_day_return,0.0014720649731559399,0.0014720649731559399
Linear Regression,macd_histogram,0.001189795427344216,0.001189795427344216
Linear Regression,return_5d,0.0010845322247751582,0.0010845322247751582
Linear Regression,relative_volume,0.0006888612781906639,0.0006888612781906639
Linear Regression,momentum_20,0.0006276454865221711,0.0006276454865221711
Linear Regression,debt_to_equity,0.0004218579074647538,0.0004218579074647538
Ridge Regression,fed_funds_rate,0.04620413418104559,0.04620413418104559
Ridge Regression,yield_curve_10y_2y,0.03180083781492051,0.03180083781492051
Ridge Regression,vix,0.02370008947647896,0.02370008947647896
Ridge Regression,ticker_NVDA,0.020350136754608825,0.020350136754608825
Ridge Regression,treasury_10y,-0.012956336430934095,0.012956336430934095
Ridge Regression,revenue,-0.011983677378317516,0.011983677378317516
Ridge Regression,gross_margin,-0.011346178734390144,0.011346178734390144
Ridge Regression,capex,-0.00932505889882538,0.00932505889882538
Ridge Regression,rd_expense,0.009236100316275597,0.009236100316275597
Ridge Regression,ticker_MPWR,0.009072935670926006,0.009072935670926006
Ridge Regression,copper,-0.008211833364494383,0.008211833364494383
Ridge Regression,ticker_AMD,0.008007196764783517,0.008007196764783517
Ridge Regression,ticker_ON,-0.007370247694639613,0.007370247694639613
Ridge Regression,previous_20_day_return,-0.00713579327333241,0.00713579327333241
Ridge Regression,ticker_QCOM,-0.00706170240238541,0.00706170240238541
Ridge Regression,free_cash_flow,0.0069437199047132515,0.0069437199047132515
Ridge Regression,ticker_MCHP,-0.006091941873514297,0.006091941873514297
Ridge Regression,ticker_MRVL,-0.005716601549945183,0.005716601549945183
Ridge Regression,rsi_14,0.005100703672188643,0.005100703672188643
Ridge Regression,previous_60_day_return,-0.004564547778261233,0.004564547778261233
Ridge Regression,ticker_ADI,-0.003976827155102798,0.003976827155102798
Ridge Regression,ticker_AVGO,-0.00371476604019265,0.00371476604019265
Ridge Regression,ticker_TXN,-0.0036616852570996723,0.0036616852570996723
Ridge Regression,macd_signal,-0.003484995569540892,0.003484995569540892
Ridge Regression,atr_14,-0.0033373350299788817,0.0033373350299788817
Ridge Regression,previous_5_day_return,-0.003176315884464657,0.003176315884464657
Ridge Regression,soxx_return,-0.0030633536049424356,0.0030633536049424356
Ridge Regression,macd_histogram,0.0026150100050881734,0.0026150100050881734
Ridge Regression,macd,-0.0023822034628727885,0.0023822034628727885
Ridge Regression,volatility_20,-0.002175916968621167,0.002175916968621167
Ridge Regression,bollinger_width,0.002117771036671691,0.002117771036671691
Ridge Regression,sp500_return,0.0020295776600154874,0.0020295776600154874
Ridge Regression,ticker_MU,0.002027219905826598,0.002027219905826598
Ridge Regression,qqq_return,-0.0019605565191486794,0.0019605565191486794
Ridge Regression,daily_return,-0.0019333904811754481,0.0019333904811754481
Ridge Regression,ticker_INTC,-0.0018637171232657858,0.0018637171232657858
Ridge Regression,momentum_20,-0.001713851759840742,0.001713851759840742
Ridge Regression,nasdaq_return,0.0016769818973108991,0.0016769818973108991
Ridge Regression,inventory,0.001125195052918387,0.001125195052918387
Ridge Regression,adjusted_close,-0.001107467965740548,0.001107467965740548
Ridge Regression,dxy,0.0009954370123418706,0.0009954370123418706
Ridge Regression,volume,0.0009733147741408973,0.0009733147741408973
Ridge Regression,high,-0.000811334881797451,0.000811334881797451
Ridge Regression,relative_volume,-0.0008066284966826297,0.0008066284966826297
Ridge Regression,previous_day_return,0.0007856588522696091,0.0007856588522696091
Ridge Regression,sma_20,-0.0005531707070952313,0.0005531707070952313
Ridge Regression,debt_to_equity,0.00045609928908454543,0.00045609928908454543
Ridge Regression,distance_from_sma_20,0.00038994539649158625,0.00038994539649158625
Ridge Regression,open,-0.0003723368927561141,0.0003723368927561141
Ridge Regression,low,-0.0003003000350912878,0.0003003000350912878
Ridge Regression,return_5d,-0.00021316811152836146,0.00021316811152836146
Ridge Regression,sma_50,0.00016979794883949793,0.00016979794883949793
Ridge Regression,ema_26,0.0001364569067074598,0.0001364569067074598
Ridge Regression,ema_12,4.9757271291500486e-05,4.9757271291500486e-05
Ridge Regression,eps,2.1229113291300123e-06,2.1229113291300123e-06
