Fold,Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2
1,Training Mean Baseline,0.0,0.5094810379241517,0.112598497021537,0.08621574696433029,-0.023457778101239724
2,Training Mean Baseline,0.0,0.656437125748503,0.1279223914894939,0.09357066799378967,-0.0007900667545412965
3,Training Mean Baseline,0.0,0.6614271457085829,0.10155134328420766,0.07493722161877361,-0.020432439081068177
4,Training Mean Baseline,0.0,0.46182634730538924,0.1317744947438947,0.10587023778200032,-0.05301295174029086
5,Training Mean Baseline,0.0,0.6072854291417166,0.11243901340440315,0.0839845451247529,-0.01079779891060606
1,Linear Regression Default,0.03636026382446289,0.5172155688622755,0.1828952589314563,0.14886900485706264,-1.7002852195249316
2,Linear Regression Default,0.0946509838104248,0.6449600798403193,0.17425950495368958,0.13224901040389814,-0.8571321065756166
3,Linear Regression Default,0.13010621070861816,0.6155189620758483,0.1499150508417264,0.0992758349922461,-1.2238392136069
4,Linear Regression Default,0.15655255317687988,0.5436626746506986,0.1496738238803106,0.11417710001161835,-0.3585095692450284
5,Linear Regression Default,0.18807363510131836,0.5526447105788423,0.12605194397597905,0.0927118754370954,-0.27036737125689747
1,Ridge Regression Default,0.04074668884277344,0.5184630738522954,0.17858983180734794,0.14474143803761086,-1.5746500077592498
2,Ridge Regression Default,0.06738090515136719,0.6477045908183633,0.17739931912264695,0.1351248884665769,-0.9246587730539004
3,Ridge Regression Default,0.10954475402832031,0.6137724550898204,0.1450856419724048,0.0977519113392482,-1.0828681674979834
4,Ridge Regression Default,0.13083434104919434,0.5449101796407185,0.14724918418016703,0.11232577894647133,-0.3148517481324242
5,Ridge Regression Default,0.14871573448181152,0.5496506986027944,0.12559032676950607,0.09246403293584375,-0.2610799355780127
1,Random Forest Default,3.257274627685547,0.5149700598802395,0.11888625983331276,0.09061983126202483,-0.1409538351888402
2,Random Forest Default,8.762362718582153,0.6142714570858283,0.1253536107314733,0.09206398560541326,0.03899965739665534
3,Random Forest Default,12.289655685424805,0.6506986027944112,0.09955633468767072,0.0730662059776146,0.01926717949970491
4,Random Forest Default,15.6570143699646,0.467564870259481,0.13449176479936178,0.10746572257079819,-0.09688823505152566
5,Random Forest Default,19.276559829711914,0.5878243512974052,0.1199493305545796,0.09129336590342192,-0.15033912736165256
1,XGBoost Default,1.5698039531707764,0.5172155688622755,0.12180826595546078,0.09093954085167835,-0.19772817311757174
2,XGBoost Default,1.8983652591705322,0.6272455089820359,0.13059973400453975,0.09679331779368955,-0.04312038160667098
3,XGBoost Default,2.3714897632598877,0.5815868263473054,0.10904250118788411,0.08351373060811693,-0.17653410419336568
4,XGBoost Default,5.436957120895386,0.48577844311377244,0.1540415131643049,0.12144414044760986,-0.43895279034545576
5,XGBoost Default,2.7220864295959473,0.5671157684630739,0.13302179504272277,0.10345523819696686,-0.4147374276677671
1,LightGBM Default,1.0595974922180176,0.49151696606786427,0.12389862859256681,0.09314322224468376,-0.23918955006459663
2,LightGBM Default,1.2554852962493896,0.6217564870259481,0.1305689500469897,0.09629735518864285,-0.042628687052013836
3,LightGBM Default,1.4874083995819092,0.5728542914171657,0.10698853633799567,0.08026210254998162,-0.1326282865003272
4,LightGBM Default,1.8994543552398682,0.469810379241517,0.15890490024872986,0.12577040438942952,-0.5312481378271365
5,LightGBM Default,5.06089186668396,0.5883233532934131,0.13571891845424489,0.10805953859713333,-0.47268890606826885
1,CatBoost Default,2.724520206451416,0.49051896207584833,0.1222232145894369,0.09332503629444476,-0.20590236706380738
2,CatBoost Default,3.150960683822632,0.6357285429141717,0.12617863102887103,0.09204763443178736,0.026308298045780498
3,CatBoost Default,4.417794466018677,0.4977544910179641,0.11580187318514702,0.08837639745606145,-0.32691798408203443
4,CatBoost Default,5.413453817367554,0.47305389221556887,0.14667258984637532,0.11796665238645451,-0.30457458798776216
5,CatBoost Default,4.429012060165405,0.6020459081836327,0.13155304846397192,0.10459393681303555,-0.38366854385583604
