Model,Candidate,Mean RMSE,Std RMSE,Mean MAE,Mean R2,Mean Directional Accuracy,Mean Fit Seconds,Parameters
Linear Regression,2,0.15655911651663207,0.02252295822001478,0.11745656514038401,-0.8820266960418657,0.5748003992015968,0.11722817420959472,{'fit_intercept': False}
Linear Regression,1,0.1565591165166324,0.0225229582200143,0.11745656514038413,-0.8820266960418749,0.5748003992015968,0.11834936141967774,{'fit_intercept': True}
Ridge Regression,6,0.12443426102334425,0.014329505917349513,0.09469008439734164,-0.1512803568232211,0.5792914171656687,0.282683277130127,{'alpha': 1000}
Ridge Regression,5,0.13771418838242916,0.025818042610867457,0.10471006235010116,-0.4198638008209092,0.5910678642714571,0.2562290668487549,{'alpha': 100}
Ridge Regression,4,0.1504589462915643,0.02449082132734206,0.11412833932863349,-0.7202450612147648,0.5810379241516965,0.20984835624694825,{'alpha': 10}
Ridge Regression,3,0.1547828607704146,0.022810482432035293,0.1164816099451502,-0.8316217264043141,0.5749001996007984,0.10707287788391114,{'alpha': 1}
Ridge Regression,2,0.15608651697016204,0.022341465442795038,0.11713977836777605,-0.868484921896154,0.5754491017964072,0.0949486255645752,{'alpha': 0.1}
Ridge Regression,1,0.15649447395523125,0.022487990847137016,0.11741068088278164,-0.8801618671136137,0.5750499001996008,0.10336136817932129,{'alpha': 0.01}
Random Forest,18,0.11692215089932836,0.012209859827916348,0.0886000404490065,-0.016893565623737207,0.5758982035928143,2.3256814956665037,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.6, 'max_features': 'log2', 'max_depth': 3}"
Random Forest,21,0.11701641025620331,0.012135268520019282,0.08875805369945158,-0.018980287580149958,0.5789920159680639,8.293386602401734,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 75, 'max_samples': 0.8, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,3,0.11709860677891622,0.012402952596308251,0.08881243097818746,-0.01988468137401349,0.5739520958083832,1.7713751792907715,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 3}"
Random Forest,12,0.11746337221874519,0.011777359808718225,0.08919113012617423,-0.0281850608072546,0.5794910179640718,8.045593023300171,"{'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 75, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': None}"
Random Forest,22,0.1174745978929432,0.012256644343777835,0.08908168697279303,-0.02694715596544415,0.5700598802395209,7.8912024974823,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,28,0.11760328608239372,0.012128238051868476,0.08946866786068464,-0.02980153884009671,0.5823852295409181,8.83166732788086,"{'n_estimators': 350, 'min_samples_split': 5, 'min_samples_leaf': 75, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 7}"
Random Forest,8,0.11766259963938341,0.011951940215643926,0.08935586823271209,-0.03145271685965521,0.5768962075848304,9.319394063949584,"{'n_estimators': 350, 'min_samples_split': 20, 'min_samples_leaf': 75, 'max_samples': 0.8, 'max_features': 'log2', 'max_depth': None}"
Random Forest,4,0.11777878493352593,0.01272862179839716,0.08927101022689451,-0.031730368385387966,0.5654191616766466,6.284561204910278,"{'n_estimators': 350, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.9, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,11,0.1181256244306238,0.012670217945000398,0.08968043252724547,-0.03800968732736114,0.5670658682634732,7.463690090179443,"{'n_estimators': 350, 'min_samples_split': 5, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 5}"
Random Forest,17,0.11839476361510992,0.013731253300755666,0.08994977479782414,-0.041523931909364986,0.5616766467065868,7.45210747718811,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_samples': 0.8, 'max_features': 0.3, 'max_depth': 3}"
Random Forest,23,0.1203634085364493,0.012710302387090687,0.0923464908491364,-0.07876924725305912,0.5785429141716566,9.265621566772461,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 75, 'max_samples': 0.6, 'max_features': 0.5, 'max_depth': 5}"
Random Forest,20,0.12040540847820466,0.015047279223765616,0.0919612509197564,-0.07542815635842703,0.5614770459081837,12.327198600769043,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_samples': 0.8, 'max_features': 0.5, 'max_depth': 3}"
Random Forest,24,0.12042759876160317,0.013073694469293077,0.0913446828200611,-0.08173480753072622,0.5583333333333333,4.0802771091461185,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.6, 'max_features': 'log2', 'max_depth': 12}"
Random Forest,10,0.12066520169847719,0.012602229798519422,0.09171816789868673,-0.0858457305440555,0.56312375249501,13.22213101387024,"{'n_estimators': 350, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_samples': 0.6, 'max_features': 'sqrt', 'max_depth': 12}"
Random Forest,9,0.12085954604592879,0.014821661076827995,0.09218563613529043,-0.08524400959815312,0.5719560878243513,13.835860204696655,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 30, 'max_samples': 1.0, 'max_features': 0.3, 'max_depth': 5}"
Random Forest,27,0.12194108467597511,0.015102036201073246,0.09293815136955316,-0.10525877378612045,0.5767964071856287,9.739550876617432,"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 12, 'max_samples': 0.6, 'max_features': 0.5, 'max_depth': 5}"
