Fold,Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2
1,Training Mean Baseline,0.0,0.5094810379241517,0.112598497021537,0.08621574696433029,-0.023457778101239724
2,Training Mean Baseline,0.0,0.656437125748503,0.1279223914894939,0.09357066799378967,-0.0007900667545412965
3,Training Mean Baseline,0.0,0.6614271457085829,0.10155134328420766,0.07493722161877361,-0.020432439081068177
4,Training Mean Baseline,0.0,0.46182634730538924,0.1317744947438947,0.10587023778200032,-0.05301295174029086
5,Training Mean Baseline,0.0,0.6072854291417166,0.11243901340440315,0.0839845451247529,-0.01079779891060606
1,Linear Regression Tuned,0.03719305992126465,0.5172155688622755,0.1828952589314565,0.1488690048570629,-1.7002852195249378
2,Linear Regression Tuned,0.08221554756164551,0.6449600798403193,0.17425950495368994,0.13224901040389844,-0.8571321065756246
3,Linear Regression Tuned,0.12101387977600098,0.6155189620758483,0.14991505084172502,0.09927583499224553,-1.2238392136068583
4,Linear Regression Tuned,0.15363669395446777,0.5436626746506986,0.14967382388031034,0.11417710001161811,-0.3585095692450233
5,Linear Regression Tuned,0.20114421844482422,0.5526447105788423,0.12605194397597838,0.09271187543709504,-0.2703673712568839
1,Ridge Regression Tuned,0.03958892822265625,0.5389221556886228,0.11428482039464265,0.0868439018652053,-0.054342818023510375
2,Ridge Regression Tuned,0.06692194938659668,0.6656686626746507,0.1440610795496697,0.10649349734721535,-0.26923832199340425
3,Ridge Regression Tuned,0.09988784790039062,0.6497005988023952,0.10906598218934438,0.0846725614588153,-0.17704086391005958
4,Ridge Regression Tuned,0.1226654052734375,0.5167165668662674,0.13368766114097863,0.10562350796675338,-0.08381122407366681
5,Ridge Regression Tuned,0.15035510063171387,0.5254491017964071,0.12107176184208585,0.08981695334871889,-0.17196855611546447
1,Random Forest Tuned,0.8433167934417725,0.5094810379241517,0.11632219916747726,0.08903354415184966,-0.09226986623244149
2,Random Forest Tuned,1.3781757354736328,0.6534431137724551,0.12505124155920883,0.09147966051084476,0.04363018095127413
3,Random Forest Tuned,1.9919219017028809,0.6614271457085829,0.09918821897042918,0.07353662820701387,0.026506411719474876
4,Random Forest Tuned,2.6737053394317627,0.44785429141716565,0.1310611233353216,0.10474935247409999,-0.041642678253922094
5,Random Forest Tuned,5.283487558364868,0.6072854291417166,0.11298797146420493,0.08420101690122424,-0.020691876303071455
1,XGBoost Tuned,1.0859360694885254,0.5269461077844312,0.11668441574123141,0.08927163341004814,-0.09908291209748654
2,XGBoost Tuned,1.3393299579620361,0.6427145708582834,0.125507477762188,0.09234661470577162,0.03663902304999578
3,XGBoost Tuned,1.7077476978302002,0.594311377245509,0.10294799343538993,0.07604086396407639,-0.04869375941570331
4,XGBoost Tuned,2.005864143371582,0.48952095808383234,0.13628862736956937,0.10838735834726784,-0.12639374116356716
5,XGBoost Tuned,2.2457289695739746,0.6017964071856288,0.12215397703387948,0.09473735395133513,-0.19301377235917538
1,LightGBM Tuned,0.339111328125,0.5124750499001997,0.1168475195972237,0.08990651123670736,-0.10215770061621599
2,LightGBM Tuned,0.41252923011779785,0.6377245508982036,0.12568767535247907,0.09215417379303523,0.033870742631524675
3,LightGBM Tuned,0.5511102676391602,0.6245009980039921,0.10343944431752453,0.07606070038231451,-0.05873012077299489
4,LightGBM Tuned,0.7964799404144287,0.4306387225548902,0.13519342159233633,0.10806970604024413,-0.10836323835573003
5,LightGBM Tuned,3.5183568000793457,0.6055389221556886,0.11784686253135561,0.09153226330972582,-0.11036633091821701
1,CatBoost Tuned,2.431575059890747,0.5094810379241517,0.11732830514324513,0.0900848325069762,-0.11124632604556672
2,CatBoost Tuned,2.6963822841644287,0.6422155688622755,0.12462386652663622,0.09008800689235578,0.050155988167995935
3,CatBoost Tuned,3.0807979106903076,0.6172654690618763,0.1031137229701705,0.07622524446438167,-0.0520729301516385
4,CatBoost Tuned,4.7012574672698975,0.4660678642714571,0.13306052725077114,0.10621447522774613,-0.07366667510797686
5,CatBoost Tuned,4.629312753677368,0.6072854291417166,0.11949626715448887,0.09353098941139429,-0.1416655936310025
