Model,Feature,Coefficient,Absolute Coefficient
Linear Regression,sma_20,0.09417012444547074,0.09417012444547074
Linear Regression,ema_26,-0.08445402261998829,0.08445402261998829
Linear Regression,ema_12,-0.08349847824469486,0.08349847824469486
Linear Regression,sma_50,0.07809253412286428,0.07809253412286428
Linear Regression,low,0.05354732364611803,0.05354732364611803
Linear Regression,high,-0.03747583782258795,0.03747583782258795
Linear Regression,fed_funds_rate,0.020211432960260668,0.020211432960260668
Linear Regression,adjusted_close,-0.018758569473374148,0.018758569473374148
Linear Regression,ticker_NVDA,0.017367155497916224,0.017367155497916224
Linear Regression,nasdaq_return,0.01486667876665948,0.01486667876665948
Linear Regression,qqq_return,-0.013469310299600848,0.013469310299600848
Linear Regression,yield_curve_10y_2y,0.013423296913481705,0.013423296913481705
Linear Regression,ticker_MPWR,0.012056457685266905,0.012056457685266905
Linear Regression,treasury_10y,-0.01079568924436189,0.01079568924436189
Linear Regression,ticker_TXN,0.009054828328488626,0.009054828328488626
Linear Regression,ticker_ADI,0.00865280641195388,0.00865280641195388
Linear Regression,ticker_AVGO,0.0068520415895769425,0.0068520415895769425
Linear Regression,ticker_MCHP,0.006359252470391605,0.006359252470391605
Linear Regression,rd_expense,0.00635619197728916,0.00635619197728916
Linear Regression,ticker_MU,0.006193376382967207,0.006193376382967207
Linear Regression,revenue,-0.006061173509686199,0.006061173509686199
Linear Regression,previous_20_day_return,-0.0058733655692683115,0.0058733655692683115
Linear Regression,atr_14,0.005821690139530886,0.005821690139530886
Linear Regression,open,-0.005213233210450528,0.005213233210450528
Linear Regression,ticker_AMD,0.005048744831432301,0.005048744831432301
Linear Regression,distance_from_sma_20,0.004471230361297934,0.004471230361297934
Linear Regression,sp500_return,-0.004194218484520349,0.004194218484520349
Linear Regression,ticker_MRVL,0.003951620490599006,0.003951620490599006
Linear Regression,previous_5_day_return,-0.0034269233228570676,0.0034269233228570676
Linear Regression,rsi_14,0.0032002624818244277,0.0032002624818244277
Linear Regression,ticker_INTC,0.0031308416574791914,0.0031308416574791914
Linear Regression,dxy,0.0027508195067378555,0.0027508195067378555
Linear Regression,ticker_QCOM,0.0026783517542102887,0.0026783517542102887
Linear Regression,free_cash_flow,0.0026717756344269133,0.0026717756344269133
Linear Regression,momentum_20,0.0026047959623027687,0.0026047959623027687
Linear Regression,gross_margin,-0.002603222125505245,0.002603222125505245
Linear Regression,macd,0.0025857067325777087,0.0025857067325777087
Linear Regression,capex,-0.0025463000910167627,0.0025463000910167627
Linear Regression,ticker_ON,0.002408714554383847,0.002408714554383847
Linear Regression,previous_60_day_return,-0.0023505389860944866,0.0023505389860944866
Linear Regression,copper,-0.0023133213864372504,0.0023133213864372504
Linear Regression,return_5d,-0.0022772879712206202,0.0022772879712206202
Linear Regression,macd_histogram,0.002175102445657076,0.002175102445657076
Linear Regression,volume,-0.002134343934306569,0.002134343934306569
Linear Regression,macd_signal,0.002037436155452597,0.002037436155452597
Linear Regression,daily_return,-0.0019925411346630563,0.0019925411346630563
Linear Regression,eps,0.0013925615349813722,0.0013925615349813722
