Model,Feature,Coefficient,Absolute Coefficient
Linear Regression,inventory,0.0010890790655943196,0.0010890790655943196
Linear Regression,soxx_return,-0.0010000797094898706,0.0010000797094898706
Linear Regression,bollinger_width,-0.0008941471549664777,0.0008941471549664777
Linear Regression,vix,0.0008224237442037144,0.0008224237442037144
Linear Regression,volatility_20,0.0008107216615246323,0.0008107216615246323
Linear Regression,previous_day_return,-0.0007234511882784206,0.0007234511882784206
Linear Regression,debt_to_equity,0.0002510957763148438,0.0002510957763148438
Linear Regression,relative_volume,2.20041113470292e-05,2.20041113470292e-05
Ridge Regression,fed_funds_rate,0.01150192654432678,0.01150192654432678
Ridge Regression,yield_curve_10y_2y,0.008009955479370584,0.008009955479370584
Ridge Regression,treasury_10y,-0.005974136658165459,0.005974136658165459
Ridge Regression,ticker_NVDA,0.00346381654726489,0.00346381654726489
Ridge Regression,previous_20_day_return,-0.002966963544682035,0.002966963544682035
Ridge Regression,atr_14,0.00294370850104106,0.00294370850104106
Ridge Regression,revenue,-0.002739575402025639,0.002739575402025639
Ridge Regression,rsi_14,0.002674131016794053,0.002674131016794053
Ridge Regression,capex,-0.0026088262337541773,0.0026088262337541773
Ridge Regression,previous_5_day_return,-0.002592351961117598,0.002592351961117598
Ridge Regression,qqq_return,-0.0025803960411123674,0.0025803960411123674
Ridge Regression,copper,-0.002558196315196026,0.002558196315196026
Ridge Regression,distance_from_sma_20,0.0022328998213666353,0.0022328998213666353
Ridge Regression,ticker_ON,-0.002038465556892254,0.002038465556892254
Ridge Regression,return_5d,-0.0019892791527130666,0.0019892791527130666
Ridge Regression,sp500_return,-0.001957637982376078,0.001957637982376078
Ridge Regression,free_cash_flow,0.0019316545559227248,0.0019316545559227248
Ridge Regression,inventory,0.0019033045258923951,0.0019033045258923951
Ridge Regression,rd_expense,0.0018421417600933008,0.0018421417600933008
Ridge Regression,ticker_MPWR,0.001794429560171621,0.001794429560171621
Ridge Regression,gross_margin,-0.0017909572739280523,0.0017909572739280523
Ridge Regression,volatility_20,0.001729623439952111,0.001729623439952111
Ridge Regression,dxy,0.001726734554373599,0.001726734554373599
Ridge Regression,previous_60_day_return,-0.001723188371873187,0.001723188371873187
Ridge Regression,nasdaq_return,0.0017004180474295765,0.0017004180474295765
Ridge Regression,macd_signal,-0.0013087021132553646,0.0013087021132553646
Ridge Regression,ticker_QCOM,-0.001298416227092495,0.001298416227092495
Ridge Regression,ticker_MRVL,-0.0012810328983660435,0.0012810328983660435
Ridge Regression,macd_histogram,0.0010759920510566155,0.0010759920510566155
Ridge Regression,vix,0.00098405060829495,0.00098405060829495
Ridge Regression,daily_return,-0.0008719755645553915,0.0008719755645553915
Ridge Regression,macd,-0.0008668620611971481,0.0008668620611971481
Ridge Regression,momentum_20,0.0008196184045489624,0.0008196184045489624
Ridge Regression,ticker_MCHP,-0.0007385410525712005,0.0007385410525712005
Ridge Regression,ticker_INTC,-0.0007231549888833484,0.0007231549888833484
Ridge Regression,bollinger_width,-0.0006763029996963214,0.0006763029996963214
Ridge Regression,previous_day_return,-0.0006414945971061077,0.0006414945971061077
Ridge Regression,soxx_return,-0.0006263396900673703,0.0006263396900673703
Ridge Regression,ticker_ADI,0.0005540527494486756,0.0005540527494486756
Ridge Regression,ticker_TXN,0.0004821664698253926,0.0004821664698253926
Ridge Regression,relative_volume,-0.00038498297365949664,0.00038498297365949664
Ridge Regression,ticker_AVGO,0.00037678924219367873,0.00037678924219367873
Ridge Regression,sma_50,0.000308730030740188,0.000308730030740188
Ridge Regression,ticker_AMD,-0.0003005889603515174,0.0003005889603515174
Ridge Regression,high,-0.0002971893603794522,0.0002971893603794522
Ridge Regression,ticker_MU,-0.00029105488474752563,0.00029105488474752563
Ridge Regression,debt_to_equity,0.00022577679771967888,0.00022577679771967888
Ridge Regression,low,0.00015983849430721144,0.00015983849430721144
Ridge Regression,adjusted_close,-0.00013918530618572256,0.00013918530618572256
Ridge Regression,eps,-9.856991842465786e-05,9.856991842465786e-05
Ridge Regression,open,-6.863200044693852e-05,6.863200044693852e-05
Ridge Regression,sma_20,-6.744359265766567e-05,6.744359265766567e-05
Ridge Regression,ema_12,-5.397281061203143e-05,5.397281061203143e-05
Ridge Regression,ema_26,-2.314072444548402e-05,2.314072444548402e-05
Ridge Regression,volume,9.87149886271787e-06,9.87149886271787e-06
