Model,Feature,Importance
Random Forest,atr_14,0.08294785983973707
Random Forest,momentum_20,0.07111138939056898
Random Forest,sp500_return,0.0650692644604629
Random Forest,copper,0.058449822757221055
Random Forest,previous_20_day_return,0.05649536209385308
Random Forest,previous_5_day_return,0.055965933316202456
Random Forest,volatility_20,0.05297121512936595
Random Forest,vix,0.0515464337047754
Random Forest,nasdaq_return,0.045539893432944366
Random Forest,treasury_10y,0.04525876643933486
Random Forest,return_5d,0.04220761635701637
Random Forest,distance_from_sma_20,0.0418578791741917
Random Forest,qqq_return,0.028444918151516518
Random Forest,previous_60_day_return,0.028206530282193942
Random Forest,fed_funds_rate,0.026178252588671454
Random Forest,adjusted_close,0.019923038344833454
Random Forest,soxx_return,0.019518287223131918
Random Forest,open,0.01722243887029278
Random Forest,dxy,0.0167084600303854
Random Forest,yield_curve_10y_2y,0.01609634781359152
Random Forest,low,0.015495599950344658
Random Forest,sma_20,0.014651998024487823
Random Forest,high,0.014249465481406176
Random Forest,rsi_14,0.011898603936122083
Random Forest,macd_signal,0.010015671528183216
Random Forest,ema_26,0.009927660591735695
Random Forest,macd,0.009435463039592569
Random Forest,ema_12,0.009277354782724082
Random Forest,sma_50,0.00835369918207628
Random Forest,bollinger_width,0.007071769439450396
Random Forest,daily_return,0.007009692584358926
Random Forest,previous_day_return,0.006883817398516159
Random Forest,macd_histogram,0.006675279253158397
Random Forest,eps,0.00483080581242687
Random Forest,gross_margin,0.003955505443592636
Random Forest,capex,0.0037169619968719556
Random Forest,volume,0.003682125398906214
Random Forest,free_cash_flow,0.0033177798483267763
Random Forest,relative_volume,0.0017592229633243998
Random Forest,debt_to_equity,0.001517643962910218
Random Forest,revenue,0.0015003128582481413
Random Forest,ticker_NVDA,0.0011579708591710645
Random Forest,rd_expense,0.0008787584099805766
Random Forest,inventory,0.00065532604736747
Random Forest,ticker_INTC,0.00019634259953283566
Random Forest,ticker_AMD,0.00016545920689330578
Random Forest,ticker_ADI,0.0
Random Forest,ticker_AVGO,0.0
Random Forest,ticker_MCHP,0.0
Random Forest,ticker_MRVL,0.0
Random Forest,ticker_MPWR,0.0
Random Forest,ticker_MU,0.0
Random Forest,ticker_ON,0.0
Random Forest,ticker_QCOM,0.0
Random Forest,ticker_TXN,0.0
XGBoost,atr_14,0.06151094660162926
XGBoost,return_5d,0.05376777425408363
XGBoost,previous_5_day_return,0.04870334640145302
XGBoost,previous_20_day_return,0.04811839014291763
XGBoost,vix,0.04421567916870117
XGBoost,sp500_return,0.04357268661260605
XGBoost,volatility_20,0.04283774644136429
XGBoost,treasury_10y,0.042563337832689285
XGBoost,dxy,0.039445169270038605
XGBoost,yield_curve_10y_2y,0.037895962595939636
XGBoost,copper,0.03772362694144249
XGBoost,low,0.03718160465359688
XGBoost,fed_funds_rate,0.036883994936943054
XGBoost,soxx_return,0.03559573367238045
XGBoost,previous_60_day_return,0.0345136933028698
XGBoost,qqq_return,0.03377266973257065
XGBoost,high,0.03347914665937424
XGBoost,rsi_14,0.03343266621232033
XGBoost,distance_from_sma_20,0.03338976576924324
XGBoost,free_cash_flow,0.033076606690883636
XGBoost,adjusted_close,0.032346054911613464
XGBoost,sma_50,0.032289113849401474
