Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Directional Accuracy_mean,Directional Accuracy_std
Training Mean Baseline,0.058128106843493135,0.007074923941937298,0.04278610747573876,0.005040131029754812,-0.004395699950395171,0.004040564339730762,0.5456586826347305,0.03089432947624012
Random Forest Tuned,0.058315780735861744,0.006734088173175282,0.04290711306514759,0.0048337400591862475,-0.01227340003472106,0.028007167528993127,0.5427644710578843,0.03256231780170692
XGBoost Tuned,0.059177708930121496,0.0070454577382354526,0.043829202953643856,0.005315416623169118,-0.04244552211752219,0.05765496400133987,0.5424151696606787,0.032692724234478256
CatBoost Tuned,0.05962568374882683,0.007342987585269876,0.04409263069062957,0.005629248294824437,-0.05744620683908892,0.05923310824671816,0.5397205588822356,0.03312138669904241
Ridge Regression Tuned,0.06030291643040253,0.008311155211202216,0.04460123359203018,0.0053600041254574194,-0.07828437226169047,0.04599158081752942,0.5285429141716567,0.031224828109671345
LightGBM Tuned,0.06055205602803719,0.0074213363615998435,0.04493618603366901,0.005978129762664462,-0.0960821039531607,0.14669993834750242,0.5389221556886228,0.02634392651321379
Linear Regression Tuned,0.06724045066428055,0.009438891838446695,0.05032523840717738,0.0072517542855759926,-0.364788557115331,0.31017188566557985,0.5147205588822354,0.03101649657309939
