Fold,Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2
1,Training Mean Baseline,0.0,0.5386726546906188,0.05398479806020277,0.039780467943377126,-0.007184039503489892
2,Training Mean Baseline,0.0,0.5718562874251497,0.06618877293971885,0.04549527237942166,-0.0002890749777890722
3,Training Mean Baseline,0.0,0.5765968063872255,0.04980951988175782,0.03701509575755171,-0.002436358000154515
4,Training Mean Baseline,0.0,0.49975049900199603,0.06475548963660155,0.04991414351720108,-0.010000304422717265
5,Training Mean Baseline,0.0,0.5414171656686627,0.0559019536991847,0.0417255577811422,-0.0020687228478251107
1,Linear Regression Default,0.0695347785949707,0.4930139720558882,0.07325981321821394,0.05868093642316782,-0.8548017067460545
2,Linear Regression Default,0.12590265274047852,0.5661177644710579,0.0792220974327066,0.05500605228902455,-0.4330110472333193
3,Linear Regression Default,0.13216638565063477,0.5219560878243513,0.05744700187606968,0.042447474347382594,-0.33341960130226433
4,Linear Regression Default,0.6097683906555176,0.49550898203592814,0.06798354916525838,0.05239659275007968,-0.11320715488269983
5,Linear Regression Default,0.5518331527709961,0.49700598802395207,0.05828979162915416,0.04309513622623236,-0.08950327541231795
1,Ridge Regression Default,0.08343100547790527,0.49201596806387227,0.0729616379122268,0.05847965147025267,-0.8397339487646536
2,Ridge Regression Default,0.12065935134887695,0.5651197604790419,0.07837802622786859,0.054306961823050934,-0.40263771053601305
3,Ridge Regression Default,0.16811013221740723,0.5227045908183633,0.055428830928423906,0.04126743071118631,-0.2413765480821608
4,Ridge Regression Default,0.29645586013793945,0.4945109780439122,0.06765303450003135,0.05216810910128275,-0.10240933948645248
5,Ridge Regression Default,0.31940197944641113,0.49800399201596807,0.058143424824671906,0.04299984590697592,-0.08403861699007331
1,Random Forest Default,5.075095891952515,0.5269461077844312,0.057549981846258244,0.04180234043812165,-0.14460662338742947
2,Random Forest Default,7.633983373641968,0.56312375249501,0.06639910256024542,0.04554990680402592,-0.006656460064210279
3,Random Forest Default,13.66075873374939,0.5551397205588823,0.04991207403617889,0.03717293574959772,-0.006568493634778738
4,Random Forest Default,17.836671829223633,0.5157185628742516,0.06526122019311432,0.05027524224158931,-0.025837806614234404
5,Random Forest Default,26.55505609512329,0.5326846307385229,0.06277952910573172,0.04829345350990215,-0.26380375740752693
1,XGBoost Default,1.933246374130249,0.5256986027944112,0.060758670207736606,0.04478212897416483,-0.2757993982719209
2,XGBoost Default,1.8898186683654785,0.5369261477045908,0.07612655155333439,0.05187911042926177,-0.3232112364734645
3,XGBoost Default,2.193695306777954,0.5256986027944112,0.05960584242156849,0.044708113953041584,-0.43552169224893933
4,XGBoost Default,2.5026848316192627,0.49500998003992014,0.07594807200375325,0.05947323538261282,-0.3893185310888778
5,XGBoost Default,6.446521520614624,0.5174650698602794,0.07163209247381305,0.05509387746051928,-0.6453519488530552
1,LightGBM Default,1.0811772346496582,0.5107285429141717,0.060780359191383054,0.04468722454496017,-0.27671040343392184
2,LightGBM Default,1.2892985343933105,0.5351796407185628,0.07266192928580782,0.05013788979399788,-0.20550971747507618
3,LightGBM Default,1.500225305557251,0.5339321357285429,0.061028253609898775,0.04645044510079243,-0.5048526712451678
4,LightGBM Default,1.7180085182189941,0.49500998003992014,0.0694457905427547,0.053915124713337745,-0.16160954977670827
5,LightGBM Default,1.94370436668396,0.5239520958083832,0.07130256975635654,0.05564450726344458,-0.6302488364458292
1,CatBoost Default,3.7308647632598877,0.5299401197604791,0.05967846764042118,0.04423425845146851,-0.23083885979891794
2,CatBoost Default,4.525650262832642,0.5474051896207585,0.06953236990497748,0.04683200589139563,-0.10390304068653844
3,CatBoost Default,3.6334424018859863,0.5678642714570858,0.053626094720550736,0.04077887975108998,-0.16194197487416107
4,CatBoost Default,4.088106632232666,0.4880239520958084,0.07380327485797974,0.05799206956001823,-0.31195695987131655
5,CatBoost Default,6.708438158035278,0.5214570858283433,0.06361057064051603,0.04877182034977354,-0.29748431875237746
