Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2,RMSE Improvement vs Baseline,Beats Baseline
Random Forest,5.905346393585205,0.5390987408880054,0.07812790049738197,0.05648280460213963,0.00017509373784252436,7.786936396551869e-05,True
Training Mean Baseline,0.0,0.5390987408880054,0.07820576986134749,0.0565412377893367,-0.0018189321627242183,0.0,False
XGBoost,1.6044774055480957,0.538104705102717,0.07829452958826177,0.0565623301629832,-0.004094253678975868,-8.875972691428646e-05,False
CatBoost,2.1633358001708984,0.5352882703777336,0.07831903408304941,0.05654031939494442,-0.004722871614958768,-0.00011326422170192252,False
LightGBM,1.0341644287109375,0.5347912524850894,0.07842535561999975,0.056517210262090695,-0.0074526343117313765,-0.00021958575865226038,False
Ridge Regression,0.18001604080200195,0.508283631544069,0.0800710155345568,0.057704581820795006,-0.050176550785827834,-0.0018652456732093092,False
Linear Regression,0.1870121955871582,0.5150762094102055,0.08135792570780238,0.05882612176632698,-0.0842049309345676,-0.003152155846454896,False
